Price,Address,Rent Estimate Per Month,Beds,Baths,SqFt,Home Type,Street,City,State Label,Zip Code
197601,"Bowen Rd Se Apt 403, Washington, DC 20020",1490,2,1,930,CONDO,Bowen Rd Se Apt 403,Washington,DC,20020
347391,"L St Nw Apt 520, Washington, DC 20037",1980,1,1,505,CONDO,L St Nw Apt 520,Washington,DC,20037
1375962,"9th St Nw, Washington, DC 20012",3140,3,2,1518,SF,9th St Nw,Washington,DC,20012
138720,"Railroad Ave, Rock Springs, WY 82901",1520,4,2,1134,SF,Railroad Ave,Rock Springs,WY,82901
316625,"Country Club Way, Thayne, WY 83127",1281,3,2.5,1716,SF,Country Club Way,Thayne,WY,83127
626000,"Isherwood St Ne, Washington, DC 20002",1980,8,4,3270,MF,Isherwood St Ne,Washington,DC,20002
202300,"Monte Vista St, Sheridan, WY 82801",1141,2,2,912,SF,Monte Vista St,Sheridan,WY,82801
395000,"Eastern Ave Ne, Washington, DC 20011",2060,3,1,1024,SF,Eastern Ave Ne,Washington,DC,20011
200685,"E Burkitt St, Sheridan, WY 82801",1001,2,1,1087,SF,E Burkitt St,Sheridan,WY,82801
450549,"Sheriff Rd Ne, Washington, DC 20019",1790,3,2,1782,SF,Sheriff Rd Ne,Washington,DC,20019
350221,"Columbia Rd Nw Apt 102, Washington, DC 20009",2070,2,1,718,CONDO,Columbia Rd Nw Apt 102,Washington,DC,20009
437906,"56th St Se, Washington, DC 20019",1880,3,2,1188,SF,56th St Se,Washington,DC,20019
189000,"Forrester St Sw, Washington, DC 20032",1620,4,4,2556,MF,Forrester St Sw,Washington,DC,20032
683549,"Shepherd St Nw, Washington, DC 20011",2680,3,1,1820,Townhome,Shepherd St Nw,Washington,DC,20011
146265,"N 5th St, Douglas, WY 82633",952,2,2,971,SF,N 5th St,Douglas,WY,82633
369075,"Horner Pl Se, Washington, DC 20032",1398,3,1,1024,SF,Horner Pl Se,Washington,DC,20032
536268,"Oates St Ne, Washington, DC 20002",2040,6,1,1294,Townhome,Oates St Ne,Washington,DC,20002
87358,"Grandview Cir, Gillette, WY 82716",1201,4,2,1270,SF,Grandview Cir,Gillette,WY,82716
341700,"Hillcrest Dr, Sheridan, WY 82801",1131,3,2,1334,SF,Hillcrest Dr,Sheridan,WY,82801
254580,"Eastern Ave Ne, Washington, DC 20019",1398,2,1.5,832,SF,Eastern Ave Ne,Washington,DC,20019
308210,"Penn St Ne Apt 1, Washington, DC 20002",1770,2,1,616,CONDO,Penn St Ne Apt 1,Washington,DC,20002
480726,"Tobias Dr Se, Washington, DC 20020",1600,3,3,2160,Townhome,Tobias Dr Se,Washington,DC,20020
258152,"Cathedral Ave Nw # 26, Washington, DC 20016",1650,1,1,638,CONDO,Cathedral Ave Nw # 26,Washington,DC,20016
542622,"P St Se, Washington, DC 20020",2100,4,2,891,SF,P St Se,Washington,DC,20020
605855,"5th St Nw, Washington, DC 20011",2270,3,1,1054,SF,5th St Nw,Washington,DC,20011
207060,"Hialeah Rd, Afton, WY 83110",1121,4,2,1120,SF,Hialeah Rd,Afton,WY,83110
1089920,"Holly St Nw, Washington, DC 20012",3140,3,1,1704,SF,Holly St Nw,Washington,DC,20012
589698,"Monroe St Ne, Washington, DC 20018",2260,3,2,1776,SF,Monroe St Ne,Washington,DC,20018
439843,"Kearny St Ne, Washington, DC 20017",2500,2,1,992,SF,Kearny St Ne,Washington,DC,20017
391448,"27th St Ne, Washington, DC 20018",1760,2,1,918,SF,27th St Ne,Washington,DC,20018
541955,"Kearny St Ne, Washington, DC 20017",2920,3,1,1650,SF,Kearny St Ne,Washington,DC,20017
861635,"Emerald St Ne, Washington, DC 20002",2670,3,1,1444,SF,Emerald St Ne,Washington,DC,20002
158769,"N Pine St, Laramie, WY 82072",860,2,1,1082,SF,N Pine St,Laramie,WY,82072
269961,"Crystal Creek Dr, Sheridan, WY 82801",1102,3,2,2040,SF,Crystal Creek Dr,Sheridan,WY,82801
371587,"Benning Rd Se, Washington, DC 20019",1880,3,2,1344,SF,Benning Rd Se,Washington,DC,20019
460023,"Banks Pl Ne, Washington, DC 20019",1790,3,2,1152,SF,Banks Pl Ne,Washington,DC,20019
410875,"55th St Ne, Washington, DC 20019",1790,3,1,1476,SF,55th St Ne,Washington,DC,20019
589343,"Highwood Dr Se, Washington, DC 20020",2140,3,1.5,1600,SF,Highwood Dr Se,Washington,DC,20020
172805,"N 13th St, Laramie, WY 82072",700,2,1,686,SF,N 13th St,Laramie,WY,82072
94656,"Sherman St, Rock Springs, WY 82901",860,2,1,824,SF,Sherman St,Rock Springs,WY,82901
262112,"Connecticut Ave Nw Apt..., Washington, DC 20015",1740,1,1,808,CONDO,Connecticut Ave Nw Apt...,Washington,DC,20015
300319,"Nash St Ne, Washington, DC 20019",1620,2,1,896,SF,Nash St Ne,Washington,DC,20019
168474,"N Heights Ter, Sheridan, WY 82801",991,3,2,1148,SF,N Heights Ter,Sheridan,WY,82801
319600,"Moraine St, Laramie, WY 82070",1378,4,4,2376,SF,Moraine St,Laramie,WY,82070
